,State,County,Plant Name,Status,Nameplate Capacity (MW),Primary Energy Source,Initial Month of Operation,Initial Year of Operation
301,SC,Anderson,W S Lee,OP,90.0,BIT,3,1951
302,SC,Anderson,W S Lee,OP,90.0,BIT,7,1951
303,SC,Anderson,W S Lee,OP,175.0,BIT,12,1958
304,NC,Stokes,Belews Creek,OP,1080.1,BIT,8,1974
305,NC,Stokes,Belews Creek,OP,1080.1,BIT,12,1975
306,NY,Orange,Danskammer Generating Station,OP,147.1,BIT,10,1959
307,NY,Orange,Danskammer Generating Station,OP,239.4,BIT,9,1967
308,IL,Randolph,Baldwin Energy Complex,OP,625.1,SUB,7,1970
309,IL,Randolph,Baldwin Energy Complex,OP,634.5,SUB,3,1973
310,IL,Randolph,Baldwin Energy Complex,OP,634.5,SUB,4,1975
311,IL,Mason,Havana,OP,488.0,SUB,6,1978
312,IL,Putnam,Hennepin Power Station,OP,75.0,SUB,6,1953
313,IL,Putnam,Hennepin Power Station,OP,231.3,SUB,5,1959
314,IL,Madison,Wood River,OP,112.5,SUB,6,1954
315,IL,Madison,Wood River,OP,387.6,SUB,7,1964
316,KY,Pulaski,Cooper,OP,113.6,BIT,2,1965
317,KY,Pulaski,Cooper,OP,230.4,BIT,10,1969
318,KY,Clark,Dale,OP,27.0,BIT,12,1954
319,KY,Clark,Dale,OP,27.0,BIT,12,1954
320,KY,Clark,Dale,OP,81.0,BIT,10,1957
321,KY,Clark,Dale,OP,81.0,BIT,8,1960
322,KY,Mason,H L Spurlock,OP,357.6,BIT,9,1977
323,KY,Mason,H L Spurlock,OP,592.1,BIT,3,1981
324,KY,Mason,H L Spurlock,OP,329.4,BIT,3,2005
325,KY,Mason,H L Spurlock,OP,329.4,BIT,4,2009
326,TN,Sullivan,Tennessee Eastman Operations,OP,6.0,BIT,2,1946
327,TN,Sullivan,Tennessee Eastman Operations,OP,6.0,BIT,5,1949
328,TN,Sullivan,Tennessee Eastman Operations,OP,6.0,BIT,2,1953
329,TN,Sullivan,Tennessee Eastman Operations,OP,7.0,BIT,1,1960
330,TN,Sullivan,Tennessee Eastman Operations,OP,10.0,BIT,4,1962
331,TN,Sullivan,Tennessee Eastman Operations,OP,7.5,BIT,10,1963
332,TN,Sullivan,Tennessee Eastman Operations,OP,10.4,BIT,7,1966
333,TN,Sullivan,Tennessee Eastman Operations,OP,10.4,BIT,10,1966
334,TN,Sullivan,Tennessee Eastman Operations,OP,10.4,BIT,7,1967
335,TN,Sullivan,Tennessee Eastman Operations,OP,10.4,BIT,3,1970
336,TN,Sullivan,Tennessee Eastman Operations,OP,10.4,BIT,4,1972
337,TN,Sullivan,Tennessee Eastman Operations,OP,15.0,BIT,7,1969
338,TN,Sullivan,Tennessee Eastman Operations,OP,15.4,BIT,9,1982
339,TN,Sullivan,Tennessee Eastman Operations,OP,16.8,BIT,7,1983
